Gene	NC_1	NC_2	NC_3	siFSCN1_1	siFSCN1_2	siFSCN1_3	Symbol	Chr	GeneType	Description
ENSG00000257023.1	0	3	1	0	3	1	RP11-268P4.4	chr12	lncRNA	--
ENSG00000126262.5	0	0	0	0	0	1	FFAR2	chr19	protein_coding	free fatty acid receptor 2
ENSG00000125820.6	0	0	0	1	0	0	NKX2-2	chr20	protein_coding	NK2 homeobox 2
ENSG00000281348.1	69	76	73	52	49	60	CTD-2574D22.6	chr16	protein_coding	--
ENSG00000233839.1	0	0	6	0	0	0	RP11-389O22.4	chr1	processed_pseudogene	--
ENSG00000174579.4	193	182	282	321	299	325	MSL2	chr3	protein_coding	MSL complex subunit 2
ENSG00000165688.12	2381	2081	2629	2651	2397	2530	PMPCA	chr9	protein_coding	peptidase, mitochondrial processing subunit alpha
ENSG00000112077.17	1	0	1	2	7	3	RHAG	chr6	protein_coding	Rh associated glycoprotein
ENSG00000261620.1	0	0	0	1	0	0	HMGN2P41	chr16	processed_pseudogene	high mobility group nucleosomal binding domain 2 pseudogene 41
ENSG00000275413.1	4	5	13	15	26	14	CTC-529I10.1	chr17	lncRNA	--
ENSG00000127540.12	870	721	986	830	718	609	UQCR11	chr19	protein_coding	ubiquinol-cytochrome c reductase, complex III subunit XI
ENSG00000269559.2	8	9	7	15	9	5	RP11-629B11.5	chr4	lncRNA	--
ENSG00000125651.14	2387	2046	2837	1592	1279	1478	GTF2F1	chr19	protein_coding	general transcription factor IIF subunit 1
ENSG00000115290.10	561	558	737	1094	956	1008	GRB14	chr2	protein_coding	growth factor receptor bound protein 14
ENSG00000136861.18	1423	1271	1651	1750	1678	1706	CDK5RAP2	chr9	protein_coding	CDK5 regulatory subunit associated protein 2
ENSG00000076662.10	226	209	242	182	150	154	ICAM3	chr19	protein_coding	intercellular adhesion molecule 3
ENSG00000121316.11	69	64	87	60	58	89	PLBD1	chr12	protein_coding	phospholipase B domain containing 1
ENSG00000283041.1	316	315	387	215	271	223	RP11-371A22.1	chr7	processed_pseudogene	--
ENSG00000256238.1	0	0	1	0	1	1	SUPT16HP1	chr12	processed_pseudogene	SPT16 homolog, facilitates chromatin remodeling subunit pseudogene 1
ENSG00000249915.8	155	140	149	162	152	170	PDCD6	chr5	protein_coding	programmed cell death 6
ENSG00000100393.14	853	764	1028	956	983	1075	EP300	chr22	protein_coding	E1A binding protein p300
ENSG00000234721.3	3	0	2	3	4	6	LINC02092	chr17	lncRNA	long intergenic non-protein coding RNA 2092
ENSG00000172059.11	111	114	177	155	158	179	KLF11	chr2	protein_coding	Kruppel like factor 11
ENSG00000267213.4	29	32	45	55	42	32	DPY19L3-DT	chr19	lncRNA	DPY19L3 divergent transcript
ENSG00000187555.16	3164	2914	3759	2631	2515	2729	USP7	chr16	protein_coding	ubiquitin specific peptidase 7
ENSG00000141655.17	190	201	213	179	168	193	TNFRSF11A	chr18	protein_coding	TNF receptor superfamily member 11a
ENSG00000268955.2	0	2	0	0	0	0	RP11-556O5.6	chr8	lncRNA	--
ENSG00000163530.4	2	3	4	0	3	0	DPPA2	chr3	protein_coding	developmental pluripotency associated 2
ENSG00000260459.2	53	36	50	31	20	24	FTLP14	chr16	processed_pseudogene	ferritin light chain pseudogene 14
ENSG00000165097.16	323	295	462	378	375	399	KDM1B	chr6	protein_coding	lysine demethylase 1B
ENSG00000134597.16	851	716	968	686	711	806	RBMX2	chrX	protein_coding	RNA binding motif protein X-linked 2
ENSG00000274929.1	0	1	0	4	0	5	RP11-165D7.5	chr13	lncRNA	--
ENSG00000279417.1	0	0	0	0	0	1	RP11-382B18.1	chr15	TEC	--
