Gene	NC_1	NC_2	NC_3	siFSCN1_1	siFSCN1_2	siFSCN1_3	Symbol	Chr	GeneType	Description
ENSG00000141013.17	2.46	2.57	2.54	3.49	3.59	3.69	GAS8	chr16	protein_coding	growth arrest specific 8
ENSG00000276754.1	0.0	0.0	0.0	0.07	0.07	0.14	RP11-461A8.5	chr16	lncRNA	--
ENSG00000250986.1	0.1	0.07	0.09	0.13	0.17	0.13	LINC02600	chr4	lncRNA	long intergenic non-protein coding RNA 2600
ENSG00000257336.1	0.0	0.0	0.08	0.0	0.0	0.0	PRELID2P1	chr12	processed_pseudogene	PRELI domain containing 2 pseudogene 1
ENSG00000262979.1	0.0	0.05	0.18	0.44	0.82	0.36	CTD-2047H16.2	chr17	lncRNA	--
ENSG00000279414.1	0.16	0.0	0.09	0.15	0.42	0.05	CDRT15P9	chr21	processed_pseudogene	CDRT15 pseudogene 9
ENSG00000271200.1	0.0	0.07	0.16	0.43	0.69	0.18	PATJ-DT	chr1	lncRNA	PATJ divergent transcript
ENSG00000011465.18	0.0	0.0	0.0	0.0	0.01	0.0	DCN	chr12	protein_coding	decorin
ENSG00000147234.11	0.01	0.01	0.01	0.01	0.01	0.01	FRMPD3	chrX	protein_coding	FERM and PDZ domain containing 3
ENSG00000251537.4	20.53	20.2	18.74	16.71	17.82	18.23	RP11-385D13.1	chr17	protein_coding	--
ENSG00000111602.12	10.06	10.39	10.28	9.06	9.13	9.81	TIMELESS	chr12	protein_coding	timeless circadian regulator
ENSG00000162702.8	5.64	5.65	5.61	10.97	10.84	11.89	ZNF281	chr1	protein_coding	zinc finger protein 281
ENSG00000184967.7	19.2	20.15	21.4	12.49	13.55	12.34	NOC4L	chr12	protein_coding	nucleolar complex associated 4 homolog
ENSG00000139354.11	1.24	1.44	1.47	1.5	1.49	1.62	GAS2L3	chr12	protein_coding	growth arrest specific 2 like 3
ENSG00000118197.14	1.77	1.65	1.74	2.66	2.12	2.42	DDX59	chr1	protein_coding	DEAD-box helicase 59
ENSG00000156162.16	1.65	1.71	1.88	2.98	3.01	3.01	DPY19L4	chr8	protein_coding	dpy-19 like 4
ENSG00000239268.3	0.02	0.0	0.04	0.06	0.02	0.0	RP11-384F7.2	chr3	lncRNA	--
ENSG00000267140.1	11.14	11.21	9.73	6.18	4.94	5.81	RP11-322E11.6	chr18	protein_coding	--
ENSG00000267774.2	0.0	0.03	0.0	0.0	0.0	0.0	RP11-2N1.2	chr18	lncRNA	--
ENSG00000172667.11	1.35	1.44	1.25	2.08	2.34	2.31	ZMAT3	chr3	protein_coding	zinc finger matrin-type 3
ENSG00000237903.1	0.06	0.0	0.0	0.42	0.19	0.12	RP3-404F18.5	chrX	lncRNA	--
ENSG00000227906.8	0.01	0.01	0.0	0.02	0.01	0.01	SNAP25-AS1	chr20	lncRNA	SNAP25 antisense RNA 1
ENSG00000076716.9	0.03	0.05	0.02	0.03	0.01	0.06	GPC4	chrX	protein_coding	glypican 4
ENSG00000185052.13	0.0	0.02	0.01	0.02	0.0	0.01	SLC24A3	chr20	protein_coding	solute carrier family 24 member 3
